length,orientation,centroid_x,centroid_y,label
4.2426406145095825,,356,219,
9.656854152679443,0.0,297,221,
6.656854152679443,0.0,412,217,
7.656854152679443,0.0,184,216,
6.656854152679443,0.0,357,214,
4.2426406145095825,,113,212,
6.656854152679443,0.0,413,211,
6.656854152679443,0.0,183,208,
6.656854152679443,0.0,358,207,
4.2426406145095825,,414,206,
8.656854152679443,0.0,298,206,
6.656854152679443,0.0,182,202,
4.2426406145095825,,415,200,
7.656854152679443,0.0,359,199,
4.2426406145095825,,181,198,
4.2426406145095825,,378,197,
134.9827550649643,165.00961303710938,92,204,
4.2426406145095825,,180,194,
10.656854152679443,0.0,297,194,
4.2426406145095825,,417,191,
4.2426406145095825,,380,190,
4.2426406145095825,,381,186,
4.2426406145095825,,177,185,
6.656854152679443,0.0,418,184,
4.2426406145095825,,382,182,
4.2426406145095825,,363,178,
8.656854152679443,0.0,176,179,
4.2426406145095825,,383,177,
14.656854152679443,0.0,296,180,
4.2426406145095825,,364,173,
9.656854152679443,0.0,419,174,
6.656854152679443,0.0,384,172,
8.656854152679443,0.0,175,172,
6.656854152679443,0.0,315,169,
6.656854152679443,0.0,385,166,
6.656854152679443,0.0,174,166,
6.656854152679443,0.0,365,165,
4.2426406145095825,,316,164,
6.656854152679443,0.0,386,161,
10.656854152679443,0.0,420,162,
4.2426406145095825,,317,159,
6.656854152679443,0.0,387,157,
4.2426406145095825,,366,157,
6.656854152679443,0.0,388,153,
4.2426406145095825,,319,152,
4.2426406145095825,,367,149,
11.656854152679443,0.0,420,150,
7.656854152679443,0.0,298,148,
6.656854152679443,0.0,419,141,
4.2426406145095825,,322,140,
26.656854152679443,0.0,173,150,
4.2426406145095825,,418,137,
4.2426406145095825,,323,136,
10.656854152679443,0.0,299,137,
6.656854152679443,0.0,324,130,
6.656854152679443,0.0,370,128,
4.2426406145095825,,325,124,
53.52691125869751,102.39693450927734,408,127,
4.2426406145095825,,371,123,
14.656854152679443,0.0,172,126,
13.656854152679443,0.0,171,112,
10.656854152679443,0.0,326,107,
6.656854152679443,0.0,299,102,
8.656854152679443,0.0,374,97,
8.656854152679443,0.0,327,96,
6.656854152679443,0.0,215,90,
6.656854152679443,0.0,328,89,
6.656854152679443,0.0,329,84,
4.2426406145095825,,213,81,
4.2426406145095825,,330,80,
30.656854152679443,0.0,170,92,
4.2426406145095825,,331,77,
10.656854152679443,0.0,171,74,
6.656854152679443,0.0,172,68,
4.2426406145095825,,374,66,
4.2426406145095825,,207,65,
6.656854152679443,0.0,173,65,
4.2426406145095825,,174,62,
4.2426406145095825,,340,60,
6.656854152679443,0.0,341,58,
4.2426406145095825,,368,54,
4.2426406145095825,,199,51,
70.4264063835144,72.54882049560547,354,49,
82.8406194448471,24.39885711669922,185,45,
1039.4457391500473,6.08518123626709,253,121,
4.2426406145095825,,234,234,
4.2426406145095825,,232,226,
4.2426406145095825,,231,222,
12.656854152679443,0.0,245,222,
4.2426406145095825,,230,217,
6.656854152679443,0.0,229,210,
10.656854152679443,0.0,246,209,
7.656854152679443,0.0,228,203,
10.656854152679443,0.0,227,192,
11.656854152679443,0.0,226,174,
8.656854152679443,0.0,225,154,
7.656854152679443,0.0,224,144,
6.656854152679443,0.0,223,137,
21.656854152679443,0.0,246,139,
6.656854152679443,0.0,222,131,
10.656854152679443,0.0,247,120,
6.656854152679443,0.0,298,75,
11.656854152679443,0.0,251,68,
9.656854152679443,0.0,299,66,
11.656854152679443,0.0,252,56,
9.656854152679443,0.0,300,54,
9.656854152679443,0.0,253,47,
9.656854152679443,0.0,299,42,
7.656854152679443,0.0,254,41,
6.656854152679443,0.0,255,36,
6.656854152679443,0.0,298,34,
4.2426406145095825,,256,33,
4.2426406145095825,,257,31,
6.656854152679443,0.0,297,29,
4.2426406145095825,,296,26,
4.2426406145095825,,261,22,
77.01219236850739,54.194576263427734,275,9,
