length,orientation,centroid_x,centroid_y,label
127.4558435678482,179.06980895996094,263,574,
108.38477599620819,178.69898986816406,263,573,
189.53910386562347,10.455796241760254,217,576,
165.29646289348602,8.8613862991333,218,576,
88.28427076339722,10.303616523742676,217,573,
69.4558436870575,10.294465065002441,218,574,
226.30865573883057,163.26312255859375,311,573,
213.30865597724915,169.70823669433594,310,570,
84.35533809661865,27.43659019470215,312,566,
63.698484659194946,33.164878845214844,312,566,
214.40916097164154,161.03643798828125,128,574,
110.32590067386627,167.38983154296875,125,575,
4.2426406145095825,,131,550,
361.1909064054489,169.89901733398438,128,574,
506.83556711673737,3.7339940071105957,476,537,
8.242640614509583,90.0,472,600,
16.485281229019165,90.30606842041016,465,599,
4.2426406145095825,,474,582,
17.727921724319458,54.16897201538086,465,582,
16.485281229019165,111.67816162109375,475,571,
16.242640614509583,90.0,484,561,
6.656854152679443,0.0,479,558,
14.899494767189026,99.01717376708984,474,546,
13.899494767189026,56.52989959716797,475,539,
8.242640614509583,90.0,478,531,
4.2426406145095825,,472,529,
6.656854152679443,0.0,478,524,
17.656854152679443,98.00651550292969,486,515,
12.242640614509583,90.0,473,515,
4.2426406145095825,,479,499,
11.485281229019165,72.54792022705078,474,491,
19.071067690849304,98.61023712158203,485,489,
16.313708305358887,133.37612915039062,474,481,
6.2426406145095825,90.0,476,476,
13.727921724319458,41.868038177490234,479,473,
4.2426406145095825,,476,471,
4.2426406145095825,,477,470,
247.5979790687561,173.83009338378906,247,408,
33.65685415267944,0.0,251,448,
16.656854152679443,0.0,250,410,
9.656854152679443,0.0,249,399,
7.656854152679443,0.0,248,392,
6.656854152679443,0.0,247,386,
4.2426406145095825,,246,382,
4.2426406145095825,,245,378,
4.2426406145095825,,244,374,
4.2426406145095825,,243,370,
4.2426406145095825,,241,363,
60.76955211162567,48.85837173461914,137,356,
54.870057225227356,29.18962287902832,174,348,
396.35742700099945,142.2705535888672,278,381,
7.656854152679443,0.0,321,456,
6.656854152679443,0.0,320,451,
7.656854152679443,0.0,319,447,
4.2426406145095825,,318,443,
4.2426406145095825,,317,440,
4.2426406145095825,,316,437,
4.2426406145095825,,315,435,
4.2426406145095825,,314,432,
4.2426406145095825,,313,430,
4.2426406145095825,,312,427,
6.656854152679443,0.0,311,424,
4.2426406145095825,,310,422,
4.2426406145095825,,309,419,
4.2426406145095825,,308,417,
325.54624450206757,124.40241241455078,294,343,
4.2426406145095825,,336,370,
4.2426406145095825,,333,369,
4.2426406145095825,,330,368,
4.2426406145095825,,327,367,
4.2426406145095825,,324,366,
4.2426406145095825,,322,365,
50.55634891986847,77.77561950683594,124,263,
51.72792184352875,85.937255859375,213,260,
4.2426406145095825,,213,261,
36.899494767189026,101.83441925048828,386,256,
49.485281229019165,95.18860626220703,341,197,
4.2426406145095825,,340,198,
54.14213538169861,87.243896484375,201,197,
4.2426406145095825,,204,198,
38.899494767189026,101.71598052978516,399,182,
41.31370830535889,78.08838653564453,210,181,
4.2426406145095825,,210,182,
59.21320307254791,68.91044616699219,189,116,
58.485281229019165,85.76203155517578,273,90,
14.242640614509583,90.0,268,91,
8.242640614509583,90.0,280,90,
4868.316132545471,178.4031982421875,264,251,
4.2426406145095825,,298,529,
6.2426406145095825,90.0,291,528,
